"","RM","MeanDeltaStage"
"1",-15.59,74.2602407881775
"2",-15.58,72.0703353694588
"3",-15.53,72.0703353694588
"4",-15.51,72.0703353694588
"5",-15.49,72.0760243021353
"6",-15.44,72.0760243021353
"7",-15.38,71.5085324137938
"8",-15.34,71.5085324137938
"9",-15.27,69.8296800000002
"10",-15.24,70.3155415435141
"11",-15.15,70.2636237766828
"12",-14.26,70.9492652873561
"13",-13.11,70.5986368472907
"14",-12.16,63.7933887684728
"15",-11.15,56.7528257471263
"16",-9.41,64.5151157963874
"17",-7.85,73.7577128407221
"18",-6,59.2320492610838
"19",-4.36,58.2082082101805
"20",-0.94,40.5021309688013
"21",0,34.4715453530373
"22",1.9,74.9841699835801
"23",2.43,73.3155109359603
"24",2.6,62.7980090640394
"25",3.72,64.8348805254512
"26",4.03,62.8633733990147
"27",4.26,62.5637284729063
"28",5,60.6861971756978
"29",6.58,57.2235390476192
"30",7.4,56.1677165188832
"31",7.9,53.2067521839082
"32",9.13,97.2671854187192
"33",10.18,89.3532627914615
"34",10.27,89.467208275862
"35",12.44,113.881788374384
"36",13.53,88.3336258784894
"37",14.93,80.1158541871922
"38",15.48,78.5817776026273
"39",16.02,73.3646259441709
"40",16.4,62.1474354022991
"41",16.82,68.1723320853858
"42",17.7,103.321761313629
"43",18.28,85.1687441707718
"44",19.07,78.8641888998359
"45",19.43,76.5458237110016
"46",20.13,73.6166740229887
"47",21.8,121.174382791462
"48",21.98,111.575968866995
"49",22.3,109.975977405583
"50",24.09,88.68709044335
"51",26.38,83.6519178981935
"52",27.48,88.2184458456486
"53",28.09,85.1102199014777
"54",28.73,75.045864039409
"55",29.87,107.023554811166
"56",30,96.6742518226601
"57",30.83,90.2924872249591
"58",31.8,60.2059745155991
"59",32,55.6457194088672
"60",32.32,79.8825745812808
"61",32.43,78.5792918226603
"62",32.72,76.2617441050903
"63",34.36,80.3677854844003
"64",35.38,86.6860208866994
"65",36.59,64.5155662397372
"66",37.91,82.55
"67",39.43,81.2886251559935
"68",39.52,80.7098054515598
"69",40.55,77.7861778653531
"70",42,65.7747389162558
"71",42.51,62.3968976026271
"72",43,75.257539047619
"73",45,71.260254712644
"74",45.36,79.7416358620691
"75",46.95,61.3900065681442
"76",47.1,65.9149268965514
"77",47.7,59.4701335960589
"78",48.92,54.6008910344825
"79",50,70.2040151067326
"80",50.01,67.5455318226602
"81",50.62,63.4420763218391
"82",51,65.4426120197048
"83",51.57,59.4214356650244
"84",54.48,62.3352535960595
"85",54.86,61.2995508702797
"86",55,45.345214449918
"87",58.39,64.9332773727423
"88",59.34,74.9063600656815
"89",60.53,44.2653515927751
"90",61,42.5730192446636
"91",61.95,9.91602653530285
"92",62,59.1085110016419
"93",63.42,59.6886319868638
"94",64.09,51.840457405583
"95",65.01,45.7544672577995
"96",67.1,48.0802230541871
"97",67.83,50.3306880788176
"98",68.2,54.7506384236451
"99",70.16,40.9231787192117
"100",70.74,39.092259967159
"101",71.23,36.0497987520525
"102",71.79,51.7329349096878
"103",73.53,74.8739615106733
"104",73.76,75.6908155008209
"105",74.24,73.1438252873563
"106",74.55,71.9440277175695
"107",76.11,50.8724379638753
"108",77.43,81.7881167816092
"109",77.73,73.0468131362892
"110",78.13,78.1078111001641
"111",78.28,78.0675714942532
"112",80.11,105.622559211823
"113",80.27,104.517288013136
"114",80.53,104.450505615764
"115",86.22,68.3014925451559
"116",86.66,67.0370646962235
"117",86.96,66.2724454515601
"118",87.37,63.7770893924467
"119",89.97,75.1116955008213
"120",90.7,68.3856920853859
"121",91.13,67.5556417733992
"122",91.93,56.0034882101804
"123",92.3,55.0508005254517
"124",92.98,53.9148991789821
"125",95.68,65.750681904762
"126",96.19,64.303791133005
"127",97.25,80.9148906403941
"128",97.68,80.4684345484402
"129",99.4,34.4564805254515
"130",100.91,71.1440903776682
"131",101.78,95.1561409523808
"132",102.98,80.9326748111663
"133",103.57,77.2064239080461
"134",105.52,71.6896773727421
"135",106.57,78.5356488669949
"136",106.79,78.5446076847293
"137",106.99,73.0633460755336
"138",111.08,81.3573261083743
"139",113.24,108.792979704434
"140",113.83,106.589727816092
"141",114.74,105.607010574713
"142",114.85,104.881980295566
"143",115.78,61.8159758292281
"144",116.1,60.8558141215104
"145",117.4,76.2064563546798
"146",118.03,71.71775500821
"147",118.42,70.2639240722496
"148",119.28,73.3538319868638
"149",120.92,96.1196893267652
"150",123.19,31.2977215106733
"151",124.12,75.7277018062398
"152",125.61,77.9286180623973
"153",127.95,65.1218296223317
"154",128.07,64.9462568144498
"155",128.3,64.7854318555008
"156",129.35,83.2718938587848
"157",129.67,81.4964630541871
"158",131.37,62.2817843021346
"159",132.51,57.0530212151067
"160",133.36,47.618768866995
"161",138.35,80.6039846305418
"162",139.72,75.9393267651888
"163",141.06,63.1888771100165
"164",141.7,58.5973078489326
"165",142.37,56.2789760262727
"166",142.87,55.1694673234811
"167",143.32,54.1520826272578
"168",147.71,85.4524567487685
"169",149.22,64.5852848604271
"170",150.83,95.1610791461413
"171",151.96,98.6964588505747
"172",152.86,87.5133351724139
"173",153.15,88.2853283415436
"174",154.71,69.0557015435139
"175",156.11,49.1470397372742
"176",156.41,46.9838105747127
"177",158.94,78.3556383579638
"178",159.83,69.3486231855501
"179",160.64,52.5395454844007
"180",162.97,75.2455439080459
"181",163.12,75.1025364860425
"182",163.68,72.8897585550081
"183",164.07,68.5496034154351
"184",164.99,73.314543316913
"185",165.67,71.9443280131363
"186",166.04,70.5953335960593
"187",166.2,69.6840700164202
"188",167.68,86.0416199671593
"189",169.07,84.907220098522
"190",169.7,89.765351724138
"191",170.47,86.8160155008209
"192",171.26,86.3464866995072
"193",172.66,77.875182134647
"194",173.72,76.4114080788177
"195",174,76.405635730706
"196",176.5,60.3672832840722
"197",177.36,63.1433322824301
"198",177.86,69.7612126108376
"199",178.41,66.9818269950738
"200",183.72,82.3299834482759
"201",184.88,83.1820888013137
"202",187.12,65.4856043349755
"203",187.67,66.2256160262726
"204",189.18,77.2389559277503
"205",190.54,77.2735566502465
"206",192.45,36.5294375041051
"207",194.25,50.2987066009852
"208",195.75,68.3114523481113
"209",196.68,47.2354916256157
"210",197.07,45.1331890968801
"211",197.37,53.395054187192
"212",197.87,66.4062604926107
"213",198.2,65.1716286371101
"214",199.87,90.992392775041
"215",201.33,82.8024651559934
"216",202.46,60.5139276190476
"217",203.03,59.8587494252875
"218",203.37,59.9303866009852
"219",206.93,64.8292916912971
"220",207.93,57.9253631527092
"221",208.38,56.743666732348
"222",210.66,9.61913431855506
"223",211.34,5.89618666666536
"224",213.55,82.602635139573
"225",214.76,77.9807026600987
"226",215.49,76.2457450246306
"227",216.5,73.7958003284072
"228",217.16,72.5969203284072
"229",218.21,86.0790401313629
"230",219.06,85.2345088998356
"231",220.09,48.7308133990147
"232",223.89,41.2868866995073
"233",224.9,39.9305350410507
"234",225.15,39.0825170443349
